,PLAYER_ID,TEAM_ID,W,L,MIN,POSS,PCT_BLK,PCT_FGA_3PT,PLAYER_NAME,AGE,PLAYER_HEIGHT,PLAYER_WEIGHT,GP,AST_PCT,SEASON,TEAM_ABBREVIATION
106,200783,1610612746,17,31,586.335,1162,0.175,0.027000000000000003,Craig Smith,27.0,6-7,265,48,0.095,2010-11,LAC
107,201599,1610612746,31,49,2046.765,3984,0.5920000000000001,0.003,DeAndre Jordan,22.0,6-11,265,80,0.031,2010-11,LAC
108,202339,1610612746,32,49,1840.533333333333,3611,0.142,0.239,Eric Bledsoe,21.0,6-1,195,81,0.254,2010-11,LAC
109,201569,1610612746,25,31,2112.0666666666666,4140,0.076,0.307,Eric Gordon,22.0,6-3,215,56,0.19699999999999998,2010-11,LAC
110,101113,1610612746,16,20,469.615,917,0.086,0.0,Ike Diogu,27.0,6-9,250,36,0.008,2010-11,LAC
111,200081,1610612746,20,39,1042.2633333333333,2085,0.292,0.496,Jamario Moon,31.0,6-8,205,59,0.07400000000000001,2010-11,LAC
112,2590,1610612746,19,39,1788.545,3544,0.063,0.33399999999999996,Mo Williams,28.0,6-1,195,58,0.361,2010-11,LAC
113,200751,1610612746,28,35,1551.2983333333334,3061,0.135,0.409,Randy Foye,27.0,6-4,213,63,0.18,2010-11,LAC
114,101155,1610612746,29,47,2095.1866666666665,4118,0.062,0.418,Ryan Gomes,28.0,6-7,245,76,0.084,2010-11,LAC
115,202378,1610612746,5,14,133.80166666666668,268,0.0,0.429,Willie Warren,21.0,6-4,203,19,0.307,2010-11,LAC
116,201582,1610612761,6,28,339.84,688,0.5,0.256,Alexis Ajinca,23.0,7-2,248,34,0.049,2010-11,TOR
117,101161,1610612761,20,52,1852.6516666666666,3633,0.494,0.002,Amir Johnson,24.0,6-9,210,72,0.064,2010-11,TOR
118,200745,1610612761,19,47,2353.048333333333,4676,0.22899999999999998,0.19,Andrea Bargnani,25.0,7-0,250,66,0.086,2010-11,TOR
119,201942,1610612761,22,60,2851.025,5605,0.124,0.045,DeMar DeRozan,21.0,6-7,220,82,0.085,2010-11,TOR
120,202334,1610612761,16,49,1601.753333333333,3136,0.419,0.0,Ed Davis,22.0,6-10,215,65,0.039,2010-11,TOR
121,201949,1610612761,15,23,821.155,1612,0.37,0.14300000000000002,James Johnson,24.0,6-9,245,38,0.161,2010-11,TOR
122,201573,1610612761,25,46,1495.283333333333,2911,0.04,0.282,Jerryd Bayless,22.0,6-3,200,71,0.294,2010-11,TOR
