,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS1,CFID,CFPARAMS
351,2403,Nene,1610612764,WAS,32.0,67,37,30,0.552,1693.4733333333334,106,65,77,422,569,371,429,1350,22,39,180,223,1475.5,185,135,286,189,154,151,199,157,75,338,275,322,314,154,392,427,57,140,5,"2403,1610612764"
352,203457,Nerlens Noel,1610612755,PHI,21.0,75,18,57,0.24,2311.2366666666667,138,163,71,524,962,665,678,1964,142,39,208,223,2348.2,100,308,481,438,58,98,37,169,48,486,450,455,431,8,392,467,57,40,5,"203457,1610612755"
353,201979,Nick Calathes,1610612763,MEM,26.0,58,36,22,0.621,837.9366666666666,66,14,57,172,245,175,184,596,5,22,100,45,732.2,261,155,188,123,304,241,386,202,231,165,153,160,158,353,264,239,319,287,5,"201979,1610612763"
354,2555,Nick Collison,1610612760,OKC,34.0,66,38,28,0.576,1100.7333333333333,34,72,17,152,331,289,262,842,25,12,156,80,843.0,200,125,261,171,262,337,171,337,249,218,230,218,217,134,178,384,239,264,5,"2555,1610612760"
355,203910,Nick Johnson,1610612745,HOU,22.0,28,18,10,0.643,262.34833333333336,11,12,14,42,100,80,105,260,3,7,34,18,148.3,394,308,71,100,403,407,393,353,376,93,98,114,95,386,120,107,397,412,5,"203910,1610612745"
356,201156,Nick Young,1610612747,LAL,30.0,42,12,30,0.286,1000.18,110,44,88,76,319,251,296,852,11,15,83,102,797.7,335,371,286,419,274,143,268,136,327,211,206,248,219,270,202,207,193,274,5,"201156,1610612747"
357,201587,Nicolas Batum,1610612757,POR,26.0,71,43,28,0.606,2380.0933333333332,94,68,109,168,788,724,702,2202,40,14,106,97,1896.7,147,85,261,140,48,178,186,96,234,444,472,466,463,90,196,256,200,77,5,"201587,1610612757"
358,203917,Nik Stauskas,1610612758,SAC,21.0,73,26,47,0.356,1126.52,53,19,35,74,426,311,418,1020,17,25,92,53,596.1,130,236,452,371,256,273,360,261,330,262,241,315,251,201,283,227,296,316,5,"203917,1610612758"
359,202703,Nikola Mirotic,1610612741,CHI,24.0,82,50,32,0.61,1654.1216666666667,130,103,90,234,546,443,420,1360,54,36,172,221,1698.3,2,40,310,134,164,111,113,131,175,330,325,316,317,56,373,416,63,105,5,"202703,1610612741"
360,201593,Nikola Pekovic,1610612750,MIN,29.0,31,9,22,0.29,815.0616666666666,43,92,15,250,297,223,239,778,12,45,59,105,758.3,380,405,188,416,311,306,130,345,164,196,185,194,196,255,413,155,191,284,5,"201593,1610612750"
361,202696,Nikola Vucevic,1610612753,ORL,24.0,74,21,53,0.284,2528.6633333333334,175,285,51,832,899,586,683,2210,54,43,220,212,2796.5,116,283,474,421,25,50,6,216,2,480,415,459,464,56,407,477,65,16,5,"202696,1610612753"
